Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
hinshaw,RO,1598,168,89.33.246.114,89.33.246.114,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-12-16,M247- GB,9009,7170,None
FreifunkIbbenbueren,DE,1597,24,92.252.50.204,dyndsl-092-252-050-204.ewe-ip-backbone.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-08-02,OSNATEL- DE,15747,7180,None
vikinguthar,IS,1596,57,193.107.85.62,193.107.85.62,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2013-07-02,THORDC-AS- IS,50613,3820,None
darknode,US,1593,165,104.248.140.213,104.248.140.213,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-20,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,22200,None
UbuntuCore242,US,1591,289,98.113.126.124,pool-98-113-126-124.nycmny.fios.verizon.net,39935,None,0,0,1,0,0,0,1,1,1,Tor 0.3.2.12 on Linux,0,0,2018-04-29,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,5300,None
cytherea,RU,1590,99,141.105.67.58,141.105.67.58,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2017-08-24,NCONNECT-AS- RU,49335,3410,None
ktcagency,US,1590,2357,192.81.132.46,neue.ktc.mx,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2014-11-06,LINODE-AP Linode- LLC- US,63949,5780,None
darknode2,US,1588,91,104.248.200.54,104.248.200.54,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-23,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,6620,None
tazzzz,RU,1587,584,178.140.36.74,broadband-178-140-36-74.ip.moscow.rt.ru,443,None,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2018-05-05,NCNET-AS- RU,42610,9210,None
Gandhi,MD,1586,157,178.17.170.196,178.17.170.196,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2017-04-22,TRABIA trabia network- MD,43289,4400,[2a00:1dc0:caff:72::2cb4]:443
UbuntuCore242,DE,1585,26,134.101.2.55,134.101.2.55,43639,None,0,0,1,0,0,0,1,1,1,Tor 0.3.2.12 on Linux,0,0,2018-09-03,VERSATEL- DE,8881,7100,None
NovakTwo,US,1583,35,108.58.144.234,ool-6c3a90ea.static.optonline.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-08-19,CABLE-NET-1 - Cablevision Systems Corp.- US,6128,9170,None
noeditconfig2,CA,1580,7967,149.56.157.119,tor.ca.schukraft.it,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.1.7 on FreeBSD,0,0,2017-10-06,OVH- FR,16276,5360,None
Ted,SE,1580,46,185.217.0.85,185.217.0.85,80,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2014-04-24,ICME- SE,42237,8230,None
QuintexAirVPN2,US,1564,87,199.249.223.79,199.249.223.79,443,80,0,1,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-09-15,QUINTEX - Quintex Alliance Consulting- US,62744,6380,None
confidantmail02,US,1563,534,71.165.151.35,static-71-165-151-35.lsanca.fios.frontiernet.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.4.20 on Linux,0,0,2015-01-27,FRONTIER-FRTR - Frontier Communications of America- Inc.- US,5650,5350,None
MeehPrivateNode1,NO,1558,681,51.175.133.56,56.51-175-133.customer.lyse.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.14 on Linux,0,0,2017-02-05,ALTIBOX_AS Norway- NO,29695,3970,None
AnotherTorRelay,FR,1557,345,5.135.162.49,ns3310657.ip-5-135-162.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2015-09-23,OVH- FR,16276,6060,None
arendt,RU,1557,1263,91.77.162.130,ppp91-77-162-130.pppoe.mtu-net.ru,9002,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-04-18,MTS- RU,8359,7810,None
Hakkapeliitta,FI,1554,46,185.117.118.59,host-185-117-118-59.creanova.org,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-05-18,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.- FI,51765,7790,None
a6xzL5,RU,1552,926,188.244.43.25,cybertik.prokudin.org,9090,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.1.10 on Linux,0,0,2015-10-24,CO-2COM-AS Moscow- RU,8334,6680,None
dinuccio,RU,1552,63,46.38.48.225,vps.node73.doip.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2015-12-08,TCTEL- RU,52201,6320,None
comnetkyberpuhe,FI,1551,6212,195.148.124.199,kyber-puhe.cnict.org,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.16 on Linux,0,0,2015-01-19,FUNETAS- FI,1741,9680,None
nostromo,FR,1551,62,176.31.45.3,176.31.45.3,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-10-13,OVH- FR,16276,10400,None
Alpha,MD,1549,122,31.131.2.19,somedomain.md,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-02-20,LEVEL7-AS- MD,43588,3210,None
cedar,US,1548,225,107.181.135.34,cedar.mball.net,22,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-08-14,AS40676 - Psychz Networks- US,40676,4620,[2a07:9944:1c::f04b:a596]:22
salacristo,FR,1546,357,212.47.233.235,235-233-47-212.rev.cloud.scaleway.com,443,None,0,0,1,0,0,1,1,1,1,Tor 0.2.9.14 on Linux,0,0,2015-09-08,AS12876- FR,12876,6090,None
shrek2,HU,1546,194,185.40.20.35,185.40.20.35,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-09-19,INVITECH- HU,12301,14400,None
DeepThought,FR,1544,595,164.132.106.162,162.ip-164-132-106.eu,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2017-06-11,OVH- FR,16276,3880,None
stickmanRelay,MD,1542,110,178.175.148.11,two.letter.2words.solariana.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-07-06,TRABIA trabia network- MD,43289,7610,None
FreedomIsWon,CA,1538,58,144.217.85.34,34.ip-144-217-85.net,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-02-20,OVH- FR,16276,7980,None
